instructionType,instructionSymbol,action,stimText,stimAudio,stimVideo,movement
gesture,images/hand.png,go,"""cutting""",audios/cutting.wav,videos/cutting_clip.mp4,arm
speech_gesture,images/speak_gesture.png,go,"""sweeping""",audios/sweeping.wav,videos/sweeping_clip.mp4,arm
speech_gesture,images/speak_gesture.png,go,"""outside""",audios/outside.wav,videos/outside_clip.mp4,arm
speech,images/speak.png,go,"""what""",audios/what.wav,videos/what_clip.mp4,wrist
gesture,images/hand.png,go,"""goodbye""",audios/goodbye.wav,videos/goodbye_clip.mp4,wrist
speech_gesture,images/speak_gesture.png,go,"""stop""",audios/stop2.wav,videos/stop_clip.mp4,wrist
speech,images/speak.png,go,"""bumpy""",audios/bumpy.wav,videos/bumpy_clip.mp4,wrist
gesture,images/hand.png,go,"""yes""",audios/yes.wav,videos/yes_clip.mp4,digits
gesture,images/hand.png,go,"""peace""",audios/peace.wav,videos/peace_clip.mp4,digits
speech_gesture,images/speak_gesture.png,go,"""good luck""",audios/goodluck2.wav,videos/goodluck_clip.mp4,digits
gesture,images/hand.png,go,"""OK""",audios/OK.wav,videos/ok_clip.mp4,digits
speech_gesture,images/speak_gesture.png,go,"""hang loose""",audios/hangloose.wav,videos/hangloose_clip.mp4,digits
speech_no,images/speak.png,nogo,"""outside""",audios/outside.wav,videos/outside_clip.mp4,arm
